"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         305,      -6.250048534,      -3.863741786,      -4.890777914,      -1.946710965
          0,           0,         306,      -6.252152117,      -3.865176832,      -4.892945247,      -1.961681442
          0,           0,         307,       -6.25697525,      -3.869963185,      -4.896342454,      -1.963820656
          0,           0,         308,      -6.261413717,       -3.87468329,      -4.897237897,      -1.954851664
          0,           0,         309,      -6.263471837,      -3.876110243,      -4.899294711,       -1.97025389
          0,           0,         310,      -6.268269935,      -3.880900275,      -4.902558688,       -1.97206164
          0,           0,         311,      -6.272685366,      -3.885624041,      -4.903360588,      -1.962767941
          0,           0,         312,      -6.274694016,      -3.887037728,      -4.905334631,      -1.978753433
          0,           0,         313,      -6.279465112,      -3.891828401,      -4.908498136,      -1.980408423
          0,           0,         314,      -6.283857449,      -3.896552873,      -4.909242695,       -1.97096092
          0,           0,         315,       -6.28581492,      -3.897950633,      -4.911167514,      -1.987572932
          0,           0,         316,      -6.290558713,       -3.90273971,      -4.914273609,      -1.989179934
          0,           0,         317,      -6.294929526,      -3.907462298,      -4.915006819,      -1.979690219
          0,           0,         318,      -6.296835147,      -3.908841353,      -4.916913336,      -1.996905307
          0,           0,         319,      -6.301552121,      -3.913625915,      -4.920005068,      -1.998534402
          0,           0,         320,      -6.305903247,      -3.918342919,      -4.920771177,      -1.989079014
          0,           0,         321,      -6.307756273,      -3.919699377,      -4.922682313,      -2.006834331
          0,           0,         322,      -6.312446882,      -3.924475392,       -4.92579597,      -2.008530393
          0,           0,         323,      -6.316780191,      -3.929182334,      -4.926632252,      -1.999156902
          0,           0,         324,      -6.318579948,      -3.930511773,      -4.928562437,       -2.01736627
          0,           0,         325,      -6.323244906,      -3.935275046,      -4.931725227,      -2.019152907
          0,           0,         326,      -6.327562124,      -3.939967116,      -4.932658993,      -2.009883233
          0,           0,         327,      -6.329307884,      -3.941264916,      -4.934614568,      -2.028448424
          0,           0,         328,        -6.3339473,      -3.946010771,      -4.937843112,      -2.030330094
