"Mach","Pressure","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.0853,0.56929,0.14651,1.399,0.061604,0
1.0853,0.56929,0.14652,1.399,0.061822,0
1.0853,0.5693,0.14654,1.399,0.06204,0
1.0853,0.56931,0.14656,1.399,0.062258,0
1.0853,0.56932,0.14657,1.399,0.062476,0
1.0853,0.56933,0.14659,1.399,0.062694,0
1.0852,0.56933,0.1466,1.399,0.062912,0
1.0852,0.56934,0.14662,1.399,0.06313,0
1.0852,0.56935,0.14663,1.399,0.063348,0
1.0852,0.56935,0.14663,1.399,0.063566,0
1.0852,0.56935,0.14664,1.399,0.063784,0
1.0852,0.56935,0.14664,1.399,0.064002,0
1.0852,0.56935,0.14664,1.399,0.06422,0
1.0852,0.56935,0.14665,1.399,0.064438,0
1.0852,0.56936,0.14665,1.399,0.064656,0
1.0852,0.56936,0.14666,1.399,0.064874,0
1.0852,0.56936,0.14666,1.399,0.065092,0
1.0852,0.56937,0.14667,1.399,0.06531,0
1.0852,0.56937,0.14667,1.399,0.065528,0
1.0851,0.56937,0.14667,1.399,0.065746,0
1.0851,0.56937,0.14667,1.399,0.065964,0
1.0851,0.56936,0.14666,1.399,0.066182,0
1.0851,0.56936,0.14665,1.399,0.0664,0
1.0851,0.56936,0.14665,1.399,0.066618,0
1.0851,0.56935,0.14664,1.399,0.066836,0
1.0851,0.56935,0.14664,1.399,0.067054,0
1.0851,0.56935,0.14663,1.399,0.067272,0
1.0851,0.56935,0.14663,1.399,0.06749,0
1.0851,0.56934,0.14662,1.399,0.067708,0
1.0851,0.56934,0.14662,1.399,0.067926,0
1.0851,0.56933,0.14661,1.399,0.068144,0
1.0851,0.56933,0.1466,1.399,0.068362,0
1.0851,0.56932,0.14659,1.399,0.06858,0
1.0851,0.56932,0.14657,1.399,0.068798,0
1.0851,0.5693,0.14654,1.399,0.069016,0
1.0852,0.56929,0.14652,1.399,0.069234,0
1.0852,0.56928,0.14649,1.399,0.069452,0
1.0852,0.56927,0.14647,1.399,0.06967,0
1.0852,0.56925,0.14644,1.399,0.069888,0
1.0852,0.56924,0.14641,1.399,0.070106,0
1.0852,0.56923,0.14639,1.399,0.070324,0
1.0852,0.56921,0.14636,1.399,0.070542,0
1.0852,0.5692,0.14634,1.399,0.07076,0
1.0852,0.56918,0.1463,1.399,0.070978,0
1.0853,0.56917,0.14627,1.399,0.071196,0
1.0853,0.56915,0.14624,1.399,0.071414,0
1.0853,0.56913,0.1462,1.399,0.071632,0
1.0853,0.56912,0.14617,1.399,0.07185,0
1.0853,0.5691,0.14614,1.399,0.072068,0
1.0853,0.56909,0.14612,1.399,0.072286,0
1.0853,0.56908,0.14609,1.399,0.072504,0
1.0854,0.56907,0.14607,1.399,0.072722,0
1.0854,0.56905,0.14604,1.399,0.07294,0
1.0854,0.56904,0.14602,1.399,0.073158,0
1.0854,0.56902,0.14598,1.399,0.073376,0
1.0854,0.569,0.14595,1.399,0.073594,0
1.0854,0.56899,0.14591,1.399,0.073812,0
1.0854,0.56897,0.14587,1.399,0.07403,0
1.0855,0.56895,0.14584,1.399,0.074248,0
1.0855,0.56893,0.14581,1.399,0.074466,0
1.0855,0.56892,0.14577,1.399,0.074684,0
1.0855,0.5689,0.14574,1.399,0.074902,0
1.0855,0.56889,0.14571,1.399,0.07512,0
1.0855,0.56887,0.14567,1.399,0.075338,0
1.0856,0.56885,0.14564,1.399,0.075556,0
1.0856,0.56883,0.1456,1.399,0.075774,0
1.0856,0.56881,0.14556,1.399,0.075992,0
1.0856,0.56879,0.14552,1.399,0.07621,0
1.0856,0.56877,0.14548,1.399,0.076428,0
1.0857,0.56875,0.14544,1.399,0.076646,0
1.0857,0.56873,0.1454,1.399,0.076864,0
1.0857,0.56871,0.14536,1.399,0.077082,0
1.0857,0.56869,0.14532,1.399,0.0773,0
1.0857,0.56867,0.14528,1.399,0.077518,0
1.0858,0.56865,0.14524,1.399,0.077736,0
1.0858,0.56863,0.1452,1.399,0.077954,0
1.0858,0.56861,0.14515,1.399,0.078172,0
1.0859,0.56859,0.14511,1.399,0.07839,0
1.0859,0.56856,0.14506,1.399,0.078608,0
1.0859,0.56854,0.14501,1.399,0.078826,0
1.0859,0.56851,0.14496,1.399,0.079044,0
1.086,0.56849,0.14492,1.399,0.079262,0
1.086,0.56847,0.14487,1.399,0.07948,0
1.086,0.56844,0.14482,1.399,0.079698,0
1.086,0.56842,0.14477,1.399,0.079916,0
1.0861,0.56839,0.14473,1.399,0.080134,0
1.0861,0.56837,0.14468,1.399,0.080352,0
1.0861,0.56835,0.14463,1.399,0.08057,0
1.0861,0.56832,0.14458,1.399,0.080788,0
1.0862,0.5683,0.14453,1.399,0.081006,0
1.0862,0.56827,0.14448,1.399,0.081224,0
1.0862,0.56825,0.14443,1.399,0.081442,0
1.0862,0.56822,0.14438,1.399,0.08166,0
1.0863,0.5682,0.14433,1.399,0.081878,0
1.0863,0.56817,0.14428,1.399,0.082096,0
1.0863,0.56815,0.14423,1.399,0.082314,0
1.0863,0.56812,0.14419,1.399,0.082532,0
1.0864,0.5681,0.14414,1.399,0.08275,0
1.0864,0.56808,0.14409,1.399,0.082968,0
1.0864,0.56805,0.14404,1.399,0.083186,0
1.0865,0.56802,0.14398,1.399,0.083404,0
1.0865,0.568,0.14393,1.399,0.083622,0
1.0865,0.56797,0.14388,1.399,0.08384,0
1.0865,0.56795,0.14383,1.399,0.084058,0
1.0866,0.56792,0.14377,1.399,0.084276,0
1.0866,0.56789,0.14372,1.399,0.084494,0
1.0866,0.56787,0.14367,1.399,0.084712,0
1.0867,0.56784,0.14362,1.399,0.08493,0
1.0867,0.56782,0.14357,1.399,0.085148,0
1.0867,0.56779,0.14352,1.399,0.085366,0
1.0867,0.56776,0.14346,1.399,0.085584,0
1.0868,0.56774,0.14341,1.399,0.085802,0
1.0868,0.56771,0.14336,1.399,0.08602,0
1.0868,0.56768,0.1433,1.399,0.086238,0
1.0869,0.56766,0.14325,1.399,0.086456,0
1.0869,0.56763,0.1432,1.399,0.086674,0
1.0869,0.5676,0.14314,1.399,0.086892,0
1.087,0.56757,0.14309,1.399,0.08711,0
1.087,0.56755,0.14303,1.399,0.087328,0
1.087,0.56752,0.14297,1.399,0.087546,0
1.0871,0.56749,0.14292,1.399,0.087764,0
1.0871,0.56746,0.14286,1.399,0.087982,0
1.0871,0.56743,0.1428,1.399,0.0882,0
1.0872,0.5674,0.14274,1.399,0.088418,0
1.0872,0.56737,0.14268,1.399,0.088636,0
1.0872,0.56734,0.14262,1.399,0.088854,0
1.0873,0.56731,0.14256,1.399,0.089072,0
1.0873,0.56728,0.14251,1.399,0.08929,0
1.0873,0.56726,0.14245,1.399,0.089508,0
1.0874,0.56723,0.14239,1.399,0.089726,0
1.0874,0.5672,0.14233,1.399,0.089944,0
1.0874,0.56717,0.14228,1.399,0.090162,0
1.0875,0.56714,0.14222,1.399,0.09038,0
1.0875,0.56711,0.14216,1.399,0.090598,0
1.0875,0.56708,0.1421,1.399,0.090816,0
1.0876,0.56705,0.14205,1.399,0.091034,0
1.0876,0.56703,0.14199,1.399,0.091252,0
1.0876,0.567,0.14193,1.399,0.09147,0
1.0877,0.56697,0.14187,1.399,0.091688,0
1.0877,0.56694,0.14181,1.399,0.091906,0
1.0877,0.56691,0.14175,1.399,0.092124,0
1.0878,0.56688,0.14169,1.399,0.092342,0
1.0878,0.56685,0.14163,1.399,0.09256,0
